sample_id,method,median_seconds,min_seconds,max_seconds,common_preprocess_median_seconds,fixed_graph_end_to_end_median_seconds,warmup_python_peak_bytes,endpoint_optimizations
controlled-v1/gas_background_and_anchors/00,HAIRCUT,0.0006274999905144796,0.0004976999916834757,0.0006584999937331304,1.4399993233382702e-05,0.0006418999837478623,22459,0
controlled-v1/gas_background_and_anchors/01,NO_CROSS_TARGET_COUPLING,0.02024610000080429,0.019045299995923415,0.02077280000958126,4.600000102072954e-05,0.02029210000182502,79641,4
controlled-v1/gas_background_and_anchors/01,NO_PROTOCOL_CONTINUATION,0.028682100004516542,0.024825500004226342,0.03462789999321103,4.600000102072954e-05,0.02872810000553727,61720,6
controlled-v1/gas_background_and_anchors/01,BALANCE_INFORMATION_REMOVED,0.02611869999964256,0.023266700009116903,0.02974790000007488,4.600000102072954e-05,0.026164700000663288,62905,6
controlled-v1/gas_background_and_anchors/01,FULL_INTERVAL,0.02776889999222476,0.027101600004243664,0.028374300003633834,4.600000102072954e-05,0.02781489999324549,61426,6
controlled-v1/gas_background_and_anchors/01,BOUNDED_REACHABILITY,0.00045199999294709414,0.00038500000664498657,0.0005216999998083338,4.600000102072954e-05,0.0004979999939678237,12833,0
controlled-v1/gas_background_and_anchors/01,POISON,0.00026429998979438096,0.0001444000081392005,0.00036389999149832875,4.600000102072954e-05,0.0003102999908151105,13253,0
controlled-v1/gas_background_and_anchors/01,HAIRCUT,0.0006694999901810661,0.0005583999882219359,0.0011175999970873818,4.600000102072954e-05,0.0007154999912017956,22459,0
controlled-v1/gas_background_and_anchors/02,BOUNDED_REACHABILITY,0.0001917000045068562,0.00013010000111535192,0.0003228999994462356,1.3700002455152571e-05,0.00020540000696200877,12833,0
controlled-v1/gas_background_and_anchors/02,POISON,0.0006154000002425164,0.00017640000442042947,0.000719599993317388,1.3700002455152571e-05,0.000629100002697669,13254,0
controlled-v1/gas_background_and_anchors/02,HAIRCUT,0.000719899995601736,0.0006442999874707311,0.001140100008342415,1.3700002455152571e-05,0.0007335999980568886,22589,0
controlled-v1/gas_background_and_anchors/02,NO_CROSS_TARGET_COUPLING,0.02157870000519324,0.02028519999294076,0.025298900000052527,1.3700002455152571e-05,0.021592400007648394,80433,4
controlled-v1/gas_background_and_anchors/02,NO_PROTOCOL_CONTINUATION,0.030725799995707348,0.02764160001242999,0.03165669999725651,1.3700002455152571e-05,0.0307394999981625,61742,6
controlled-v1/gas_background_and_anchors/02,BALANCE_INFORMATION_REMOVED,0.03444319999834988,0.03034079998906236,0.04183429999102373,1.3700002455152571e-05,0.034456900000805035,62700,6
controlled-v1/gas_background_and_anchors/02,FULL_INTERVAL,0.032091699991724454,0.025401399994734675,0.03480550000676885,1.3700002455152571e-05,0.032105399994179606,60958,6
controlled-v1/gas_background_and_anchors/03,NO_PROTOCOL_CONTINUATION,0.02644729999883566,0.02403900001081638,0.029169199988245964,4.1400009649805725e-05,0.026488700008485466,61434,6
controlled-v1/gas_background_and_anchors/03,BALANCE_INFORMATION_REMOVED,0.028049400003510527,0.027660100007778965,0.030958999996073544,4.1400009649805725e-05,0.028090800013160333,63351,6
controlled-v1/gas_background_and_anchors/03,FULL_INTERVAL,0.02660219999961555,0.02265689999330789,0.027709100002539344,4.1400009649805725e-05,0.026643600009265356,61120,6
controlled-v1/gas_background_and_anchors/03,BOUNDED_REACHABILITY,0.00037370000791270286,0.0002243999915663153,0.00038479999057017267,4.1400009649805725e-05,0.0004151000175625086,12833,0
controlled-v1/gas_background_and_anchors/03,POISON,0.00028140000358689576,0.00016090000281110406,0.000515899999300018,4.1400009649805725e-05,0.0003228000132367015,13254,0
controlled-v1/gas_background_and_anchors/03,HAIRCUT,0.0005532000068342313,0.00022159999934956431,0.0011146000033477321,4.1400009649805725e-05,0.000594600016484037,22589,0
controlled-v1/gas_background_and_anchors/03,NO_CROSS_TARGET_COUPLING,0.020197099991491996,0.01944990000629332,0.02149719999579247,4.1400009649805725e-05,0.0202385000011418,80371,4
controlled-v1/gas_background_and_anchors/04,NO_CROSS_TARGET_COUPLING,0.020772399991983548,0.018812899987096898,0.022267500011366792,7.100000220816582e-05,0.020843399994191714,79814,4
controlled-v1/gas_background_and_anchors/04,NO_PROTOCOL_CONTINUATION,0.028451799997128546,0.025956600002245978,0.03265550000651274,7.100000220816582e-05,0.028522799999336712,62029,6
controlled-v1/gas_background_and_anchors/04,BALANCE_INFORMATION_REMOVED,0.026986999990185723,0.023641000007046387,0.03013670000655111,7.100000220816582e-05,0.02705799999239389,63232,6
controlled-v1/gas_background_and_anchors/04,FULL_INTERVAL,0.025901000000885688,0.024805900000501424,0.03229210000426974,7.100000220816582e-05,0.025972000003093854,61163,6
